study_hours,sleep_hours,social_activity,screen_time,stress_level,family_support,physical_activity,cgpa,anxiety_level,self_esteem,headache,sleep_quality,breathing_problem,living_conditions,safety,basic_needs,academic_performance,study_load,teacher_student_relationship,future_career_concerns,social_support,peer_pressure,extracurricular_activities,addiction,isolation,mental_health_status
0,6,10,11,3,1,1,8.41,4,6,6,2,2,9,4,6,3,10,9,3,10,9,5,1,0,0
1,5,3,1,3,6,8,6.2,5,5,4,5,10,5,5,0,4,9,10,5,3,8,10,6,7,0
0,8,6,6,3,0,0,6.42,5,4,9,1,2,9,9,3,3,6,9,9,7,0,6,7,3,0
4,5,7,0,4,9,1,3.38,3,8,5,4,10,4,3,6,5,0,9,8,0,10,1,8,4,0
4,9,10,15,7,1,1,6.36,6,5,5,0,8,5,2,8,3,2,6,7,5,6,9,1,0,1
10,7,10,5,3,9,10,6.28,5,6,10,3,6,2,7,1,8,8,7,3,4,0,2,1,1,0
6,5,0,5,5,3,5,6.23,3,7,10,6,10,9,8,4,5,6,8,9,2,0,10,10,9,1
8,9,4,2,3,0,6,6.19,5,5,3,1,7,4,7,8,7,1,4,7,3,8,7,6,6,0
8,5,2,1,4,3,2,8.59,6,4,7,3,6,8,8,8,7,5,8,6,7,9,6,3,9,0
2,8,0,11,1,10,10,4.32,0,10,8,0,8,3,0,5,5,8,8,4,10,9,0,4,10,0
2,7,2,1,4,9,8,7.98,4,6,1,1,7,10,4,6,4,3,10,6,10,5,3,0,6,0
2,8,5,13,4,4,4,7.95,5,6,8,0,3,1,6,8,4,9,6,6,9,0,4,5,5,0
3,9,6,12,6,8,4,7.23,5,4,10,2,1,4,7,9,3,1,1,9,10,6,2,9,5,1
7,6,7,8,5,0,10,6.37,3,8,3,4,10,2,10,7,6,2,7,1,1,2,3,7,1,1
5,5,10,15,2,4,3,3.18,3,8,5,5,4,2,1,9,6,6,4,6,7,9,9,10,0,0
7,7,3,10,7,1,8,7.08,6,4,6,2,1,3,10,5,5,3,10,2,6,3,9,0,9,1
0,5,2,4,5,8,7,7.62,4,5,3,6,3,3,3,5,2,6,7,7,0,3,9,1,9,1
7,9,4,6,5,5,3,6.06,5,4,7,2,1,4,6,6,6,4,1,7,1,7,6,6,8,1
3,7,8,11,4,1,3,7.36,2,9,9,2,4,6,4,6,4,7,6,8,6,0,7,1,4,0
10,5,5,4,3,2,1,3.45,1,8,7,4,5,3,0,1,8,7,4,10,10,7,8,8,3,0
0,7,8,6,5,7,8,7.04,4,7,0,3,10,10,1,8,2,4,3,3,10,8,1,5,1,1
7,4,5,12,5,0,2,6.88,5,6,7,6,0,6,4,3,6,6,9,9,2,10,3,4,5,1
3,5,1,3,1,2,3,6.76,0,10,9,5,7,8,5,9,6,10,5,2,1,6,0,6,7,0
5,8,4,7,3,9,6,6.43,5,6,2,3,1,2,0,8,6,5,4,8,0,0,2,9,5,0
7,5,10,12,4,0,9,6.77,6,4,4,6,4,4,2,10,6,7,5,8,6,6,7,7,0,0
3,5,8,10,5,10,7,4.23,5,4,9,4,10,3,5,9,4,8,8,1,2,5,6,8,2,1
2,7,7,13,7,10,7,6.1,6,4,7,1,7,8,5,2,2,4,0,5,5,4,7,5,2,1
8,8,6,9,3,7,3,8.32,3,7,10,0,4,4,6,4,7,6,10,2,9,4,10,4,4,0
2,7,0,12,4,0,6,7.89,3,7,5,1,2,9,9,4,4,0,0,4,7,0,5,6,10,0
8,8,3,10,3,4,9,7.17,2,9,3,0,5,1,2,6,7,10,5,1,5,5,4,1,8,0
1,5,6,9,3,3,0,3.81,5,6,3,3,0,9,0,3,4,7,1,3,6,3,9,7,2,0
1,4,10,15,4,6,5,7.89,5,5,3,6,0,0,6,10,3,2,7,10,10,0,8,3,0,0
1,9,6,6,6,4,5,7.5,4,6,5,0,7,6,10,3,2,0,6,2,5,7,4,0,4,1
5,6,5,9,2,7,5,6.1,0,9,6,2,6,10,2,0,6,5,5,1,6,7,8,2,4,0
2,6,7,14,5,10,1,4.03,5,5,4,2,9,0,4,5,3,7,3,5,4,10,3,8,4,1
8,8,10,4,1,0,7,3.18,0,10,9,0,9,7,3,3,8,10,8,10,8,3,4,3,2,0
3,7,5,10,3,4,4,3.82,5,5,7,3,10,8,0,10,5,2,6,2,2,6,0,9,3,0
0,7,9,5,4,3,4,8.77,5,4,6,1,10,6,6,9,3,0,6,3,5,2,5,9,2,0
3,10,2,4,8,2,1,9.11,7,2,7,0,2,8,3,9,2,2,4,5,8,7,2,10,7,1
0,6,3,6,4,4,3,6.44,3,7,3,4,7,9,0,4,3,4,0,4,0,6,10,2,5,0
4,8,2,11,0,9,8,8.38,2,7,7,2,10,5,10,10,7,10,1,3,4,4,9,3,10,0
3,6,0,1,1,2,8,6.08,0,9,5,5,7,6,5,8,6,7,7,3,3,4,1,2,8,0
7,7,9,4,5,7,5,6.4,4,7,2,4,0,2,3,3,6,8,10,1,8,8,5,2,2,1
7,8,4,14,6,2,10,3.11,4,5,7,2,9,8,3,0,5,8,4,9,10,5,0,1,8,1
6,7,0,15,5,0,8,7.91,7,2,6,1,6,2,1,10,5,3,1,3,10,5,8,5,9,1
2,7,0,9,5,8,3,8.37,4,6,9,1,1,5,0,8,3,7,4,7,0,1,4,9,8,1
0,8,1,15,7,8,10,7.68,7,4,4,0,1,3,2,4,1,10,7,4,3,10,6,5,10,1
0,6,3,14,3,5,0,7.49,4,5,10,2,1,8,9,9,3,4,3,10,0,4,10,9,6,0
10,5,5,2,6,9,1,7.58,4,6,3,6,4,0,4,10,7,2,2,9,2,3,9,3,7,1
2,5,7,8,1,0,0,6.31,0,10,0,4,6,8,8,6,5,4,4,9,3,9,8,7,1,0
5,3,2,15,3,7,7,6.27,1,9,9,7,3,3,6,2,6,1,6,7,0,2,8,5,8,0
6,9,0,12,1,1,8,7.79,0,10,2,0,10,9,3,3,7,10,1,5,4,8,6,7,10,0
5,5,2,5,4,8,9,7.29,6,4,1,6,3,4,7,9,5,10,0,9,5,10,3,5,9,0
5,6,2,12,4,7,5,7.81,6,4,7,3,8,10,3,8,5,10,10,4,0,6,3,8,8,0
5,6,4,9,5,2,1,7.28,7,2,7,4,9,0,5,9,5,5,4,3,9,3,6,2,5,1
2,7,10,2,5,4,5,7.96,7,4,4,3,8,0,0,0,3,0,6,9,10,8,7,2,1,1
5,7,3,6,3,8,8,6.25,2,9,4,3,6,5,5,10,6,5,7,8,9,8,6,1,6,0
7,7,3,3,4,0,2,7.34,6,4,10,1,9,9,9,4,6,4,10,9,3,6,10,9,9,0
10,5,8,13,2,8,8,7.56,1,9,3,5,3,0,4,7,9,8,7,4,3,4,9,5,2,0
10,6,6,2,7,3,1,7.23,7,4,0,2,7,1,1,9,6,6,9,9,0,8,3,6,3,1
1,7,3,7,4,3,10,7.0,6,3,0,2,9,2,0,6,3,5,8,10,1,6,3,6,9,0
4,6,2,15,4,3,4,8.29,4,6,5,5,2,6,5,3,5,10,10,5,10,8,7,4,6,0
0,9,5,12,8,9,10,7.12,10,1,3,2,2,1,10,6,1,6,10,6,9,10,8,5,6,1
0,7,2,3,2,8,1,6.72,2,9,3,4,6,4,1,0,4,9,0,10,4,2,6,6,8,0
4,7,5,10,2,5,6,7.35,3,7,2,3,10,8,8,5,6,4,6,10,1,10,2,10,3,0
2,7,10,0,2,10,10,8.13,2,9,8,4,8,9,8,8,5,0,9,0,2,8,9,1,0,0
3,8,10,5,4,7,9,7.96,3,6,2,1,10,7,0,2,4,8,7,8,8,0,0,9,0,0
2,7,8,9,5,3,8,7.92,3,8,7,1,3,7,4,3,3,4,5,7,4,4,4,6,1,1
0,5,5,10,6,2,6,3.41,6,4,1,6,3,10,7,7,2,3,9,10,0,1,5,0,6,1
0,7,3,10,10,0,4,6.35,8,2,3,1,0,1,3,4,0,5,3,4,4,0,10,5,7,1
4,5,4,0,0,9,3,6.2,1,10,0,3,0,0,2,4,7,4,6,2,2,2,8,7,7,0
5,5,5,4,6,6,3,7.38,7,4,10,6,2,8,4,0,4,0,2,4,0,6,4,0,6,1
2,7,10,6,3,3,9,7.76,2,8,4,4,6,9,4,5,4,1,1,4,2,2,0,0,1,0
8,8,2,14,3,7,7,7.45,2,7,1,3,8,3,7,1,7,3,5,8,10,9,10,5,10,0
4,6,7,5,3,2,9,7.94,3,8,10,4,3,8,5,0,5,7,1,6,5,9,10,4,5,0
7,7,3,13,3,0,9,7.76,5,4,0,4,1,10,1,5,7,4,5,1,9,10,3,2,9,0
0,9,7,1,8,4,9,6.03,9,0,0,1,5,10,10,4,1,6,9,4,4,8,1,9,5,1
4,7,9,10,6,1,9,10.0,4,6,1,2,5,6,0,4,4,1,2,8,0,2,3,9,2,1
2,10,9,3,5,2,9,8.05,7,3,4,0,8,5,2,8,3,7,1,10,10,10,6,6,2,1
0,7,2,10,7,5,0,7.96,8,2,8,2,3,9,1,9,1,4,7,1,1,5,8,6,8,1
3,4,9,14,1,2,4,7.53,1,8,5,7,7,8,3,9,6,3,3,7,4,1,2,6,1,0
4,7,6,1,2,2,1,7.69,3,7,3,1,2,9,2,2,6,8,3,2,8,7,2,5,4,0
6,7,10,10,0,5,10,6.11,0,10,2,4,1,3,8,0,8,5,6,3,10,9,10,3,0,0
0,8,8,0,3,4,8,3.11,1,8,7,3,8,0,4,7,3,3,7,1,4,4,3,8,2,0
2,7,3,14,5,9,6,6.53,3,6,2,1,5,4,3,4,3,7,8,8,4,1,6,8,9,1
1,6,7,2,5,8,9,7.37,4,5,0,3,10,5,9,10,3,2,9,5,0,6,5,6,4,1
8,4,2,2,5,0,7,6.3,7,2,3,7,7,5,8,4,6,9,7,8,4,2,4,6,8,1
9,6,6,14,2,2,5,6.36,1,10,10,2,10,0,3,7,8,1,3,10,7,4,3,7,3,0
5,5,2,11,6,2,8,6.62,4,6,4,4,9,6,5,7,4,6,1,7,8,10,7,10,8,1
9,5,6,6,5,10,5,7.67,5,6,4,5,8,7,9,10,7,3,9,8,9,8,3,4,4,1
2,7,10,0,6,5,6,8.21,8,1,4,2,0,4,0,1,3,3,4,4,2,0,2,10,1,1
7,9,9,8,1,7,6,4.78,2,7,7,0,0,1,1,2,8,9,6,5,3,1,6,8,3,0
7,7,9,10,5,2,8,7.68,5,4,7,1,10,1,3,9,6,8,1,6,6,4,1,5,0,1
1,5,10,5,2,2,10,4.66,4,5,3,4,4,10,8,9,4,1,3,4,6,3,3,6,1,0
5,7,10,3,4,5,7,6.01,2,7,8,3,8,4,5,0,5,0,5,0,0,0,7,6,2,0
6,8,5,2,6,7,0,6.16,4,6,0,2,6,6,5,2,5,6,7,8,10,6,3,8,4,1
1,6,1,14,5,5,3,4.58,5,6,4,5,6,6,10,3,3,7,9,1,5,8,9,6,7,1
10,6,10,2,3,9,6,7.76,5,6,4,4,1,3,8,10,8,2,5,6,8,0,6,2,2,0
9,6,2,1,5,2,10,7.5,6,4,4,5,2,10,3,6,7,1,5,7,4,7,1,5,10,1
1,5,5,1,1,3,7,7.98,2,8,7,5,3,2,2,8,5,3,5,7,7,8,10,5,6,0
9,7,3,13,7,0,6,6.45,6,4,8,2,1,8,6,4,6,1,3,0,10,1,4,10,9,1
0,6,5,11,4,7,2,8.84,4,7,2,5,9,6,6,0,3,1,2,9,9,0,3,6,5,0
7,7,0,12,7,3,3,6.14,9,2,8,3,8,1,8,1,5,4,0,6,10,5,8,5,10,1
0,5,9,15,3,5,6,6.67,3,6,10,4,4,0,5,9,3,9,1,8,8,6,6,3,0,0
8,5,0,9,3,10,7,7.85,4,7,7,4,6,10,1,1,7,4,1,10,9,1,8,5,10,0
10,7,2,4,3,2,6,7.49,5,6,2,4,10,1,5,8,8,7,9,10,9,4,10,2,7,0
5,6,7,8,6,10,5,6.3,4,6,1,2,8,2,7,9,4,8,6,2,2,4,9,0,3,1
6,9,7,1,3,10,8,6.16,1,10,3,0,4,4,5,6,6,1,10,7,0,6,6,0,1,0
9,5,10,1,6,5,8,6.81,8,1,1,4,5,2,8,1,6,0,5,7,1,10,1,4,0,1
6,7,3,11,4,10,10,6.44,4,7,3,1,3,9,3,0,6,2,7,8,4,0,1,10,8,0
9,7,5,5,1,8,6,6.34,1,9,4,4,7,8,2,4,9,5,8,7,9,9,1,7,6,0
2,4,7,12,3,8,7,7.39,1,9,1,6,0,9,10,0,4,4,4,4,6,7,4,2,3,0
1,4,6,14,2,9,5,4.61,0,9,7,6,0,3,4,8,4,7,10,4,10,4,0,1,2,0
8,4,10,9,5,2,0,7.55,6,3,0,5,4,6,2,2,6,7,2,2,5,2,6,7,0,1
7,8,6,1,2,2,0,7.68,4,7,2,0,9,3,10,1,7,1,3,5,3,8,1,8,6,0
9,5,3,11,6,3,5,6.58,6,3,6,4,8,2,1,5,6,8,10,9,8,10,3,8,9,1
6,10,8,3,4,6,1,6.22,5,4,9,1,1,9,1,2,6,3,7,2,10,2,8,1,4,0
8,5,9,5,4,2,7,6.78,4,6,0,4,10,0,3,4,7,0,2,1,3,6,7,7,2,0
3,7,5,4,6,9,0,7.43,4,6,10,3,2,8,2,9,3,1,1,6,2,9,9,1,3,1
3,9,10,0,6,7,1,7.88,8,3,1,0,7,10,8,7,3,10,6,9,10,6,1,6,0,1
0,10,2,14,4,10,7,6.27,3,8,2,1,4,0,6,9,3,5,3,2,4,9,3,7,7,0
7,9,4,5,3,7,5,3.29,5,6,1,0,2,10,5,1,7,4,7,3,3,7,3,0,7,0
2,8,4,15,1,5,9,6.84,0,10,1,2,5,0,9,4,5,6,0,10,1,9,1,7,5,0
6,8,4,0,3,3,1,8.41,4,6,10,1,5,0,7,10,6,8,7,9,2,7,1,2,4,0
1,7,7,2,3,10,1,8.32,2,9,5,3,4,4,8,7,4,5,4,7,6,3,4,0,5,0
1,8,8,9,5,10,10,6.68,4,7,6,0,4,6,2,0,3,5,1,0,1,0,10,6,3,1
6,5,8,4,4,4,6,4.78,5,4,5,6,5,6,9,9,6,1,0,8,0,3,3,9,3,0
5,5,5,13,6,1,4,8.02,8,3,10,4,1,9,6,9,4,6,5,5,1,5,7,2,6,1
2,6,5,9,3,5,4,6.24,4,5,5,5,5,0,8,10,4,1,8,1,7,9,3,7,7,0
8,6,8,12,4,2,7,6.66,2,8,8,2,1,5,0,3,7,6,8,2,7,10,7,8,3,0
9,5,3,4,7,5,6,8.32,5,6,7,5,2,8,9,4,6,7,8,4,9,5,4,1,7,1
5,7,5,12,5,4,8,10.0,4,5,7,1,1,5,8,9,5,0,10,10,1,5,0,0,6,1
9,7,3,9,4,1,3,7.95,5,6,5,1,0,3,6,10,7,8,3,5,5,6,8,7,9,0
9,6,10,5,3,4,9,7.69,4,5,4,5,0,9,9,2,8,7,5,8,10,10,7,9,1,0
5,8,0,14,3,4,3,6.35,4,7,8,0,8,8,3,1,6,8,9,1,10,0,0,5,10,0
0,5,6,11,3,8,1,6.34,5,5,1,4,3,2,10,2,3,4,5,4,10,9,2,9,4,0
3,6,9,9,3,10,2,4.23,3,7,6,4,4,9,5,10,5,3,4,6,6,0,2,0,2,0
9,5,10,7,6,7,0,3.94,6,3,5,3,9,3,10,4,6,0,1,10,0,6,4,2,0,1
5,3,5,4,4,6,0,7.14,4,5,6,6,6,3,10,6,5,8,6,10,6,3,6,8,3,0
5,6,8,13,2,2,6,7.74,4,6,3,4,1,3,5,1,6,3,0,6,10,5,0,8,1,0
10,6,6,14,8,9,4,3.45,9,2,8,5,10,5,5,6,6,3,5,3,7,5,0,5,4,1
4,9,6,10,5,3,2,6.34,5,4,6,1,9,10,1,5,4,3,4,2,8,8,9,2,2,1
0,7,1,15,2,5,6,9.49,3,7,1,4,8,10,4,6,4,1,4,7,7,1,5,7,8,0
7,5,10,0,4,2,1,7.41,3,6,3,5,3,6,6,6,6,10,7,1,2,3,4,5,0,0
4,9,8,15,5,10,2,6.27,5,5,4,0,9,8,5,8,4,3,8,4,7,3,2,0,3,1
4,8,9,4,8,8,0,4.46,7,3,1,3,9,10,2,6,3,1,6,9,2,6,2,5,1,1
6,7,8,2,2,7,7,6.43,4,5,9,4,0,2,10,5,7,7,9,4,5,0,3,4,0,0
3,6,5,3,6,5,1,7.41,4,5,7,5,7,7,4,9,3,6,7,0,3,4,10,7,6,1
5,5,2,14,7,3,6,7.35,9,1,0,3,3,7,7,7,4,10,1,6,6,10,9,1,7,1
3,6,0,14,3,6,10,7.33,5,6,2,2,6,0,10,6,5,9,1,3,7,3,1,6,10,0
2,8,3,12,4,10,8,8.46,6,4,0,2,2,4,4,5,4,1,7,9,9,1,8,5,6,0
6,9,2,7,2,2,5,6.16,2,9,4,1,10,9,9,3,7,1,5,1,5,4,3,0,6,0
7,8,0,15,4,9,1,6.15,3,8,7,0,8,4,2,6,6,1,7,7,9,8,9,7,10,0
3,6,2,6,4,7,1,7.98,4,7,6,2,4,7,8,7,4,0,8,3,3,7,2,5,9,0
1,5,3,10,6,0,8,3.5,4,5,8,6,4,7,10,7,2,5,8,0,7,8,9,2,9,1
9,6,7,4,7,2,9,7.08,9,1,1,4,2,1,2,3,6,5,10,7,6,6,10,4,3,1
2,4,8,1,3,10,7,6.43,4,6,7,6,10,2,1,9,4,0,5,10,9,9,6,6,4,0
0,7,2,5,1,4,8,6.85,0,10,7,4,8,1,5,8,4,10,7,6,7,6,8,8,8,0
7,6,5,10,4,4,3,4.1,3,8,5,5,2,0,7,2,6,0,1,2,9,1,1,3,3,0
2,6,9,5,5,9,3,6.66,3,8,2,5,1,1,5,8,3,5,7,2,6,2,5,1,0,1
9,4,10,9,5,1,1,9.31,5,5,1,5,10,9,0,2,7,10,2,6,2,10,4,2,1,1
6,7,4,9,4,9,9,6.51,5,6,7,2,8,5,7,6,6,5,0,1,2,9,0,6,8,0
9,5,5,13,5,7,0,8.53,5,5,5,3,8,0,0,3,7,3,6,4,8,7,10,7,5,1
4,5,3,10,8,4,9,6.83,10,0,3,5,9,5,8,4,3,2,0,6,6,10,6,4,7,1
9,2,9,5,5,6,3,3.49,7,2,4,9,3,0,7,2,7,8,10,5,0,1,0,2,3,1
4,6,5,13,4,6,9,6.14,2,9,4,5,3,1,5,1,5,5,0,9,2,6,9,0,3,0
6,9,6,8,3,4,9,6.01,5,6,8,1,10,7,1,7,6,0,0,6,10,5,8,9,2,0
8,9,8,10,4,7,10,7.47,6,5,8,0,9,5,8,6,7,2,3,1,0,9,3,0,2,0
4,6,9,7,8,8,7,7.72,7,2,7,4,5,8,7,6,3,0,3,6,5,3,7,10,2,1
0,6,6,7,4,3,1,7.75,3,8,7,2,8,0,3,7,3,2,9,1,1,10,0,1,2,0
9,7,5,0,4,3,10,6.82,4,6,1,2,7,4,1,0,7,1,10,6,6,3,4,4,4,0
9,5,0,4,4,7,7,6.22,4,7,2,5,9,6,5,7,7,4,5,7,7,2,2,2,10,0
0,7,1,6,7,0,0,7.68,6,4,7,3,2,8,0,9,1,2,9,9,5,5,3,6,10,1
1,8,0,15,8,3,0,6.05,6,4,4,0,5,10,6,4,1,6,2,7,4,2,3,1,10,1
5,8,8,5,5,5,3,3.46,4,6,6,2,6,8,0,7,5,7,9,4,9,8,7,1,2,1
8,6,9,4,5,3,6,9.42,5,5,7,3,5,3,5,8,6,6,5,6,3,3,9,2,1,1
7,6,9,7,5,5,8,7.7,6,5,5,5,2,3,4,1,6,1,6,10,8,3,9,0,0,1
4,5,8,2,0,4,4,7.0,2,7,4,6,8,3,9,2,7,9,10,7,7,1,2,1,2,0
0,5,6,5,6,8,1,7.39,7,2,7,6,3,2,2,5,2,9,0,3,4,1,0,4,4,1
6,6,1,14,5,9,6,7.56,6,4,0,3,1,7,5,8,5,6,5,1,0,6,4,2,8,1
4,7,5,4,5,8,10,6.33,7,4,0,3,8,4,3,9,4,9,9,6,7,4,1,10,7,1
5,8,10,15,3,3,1,8.95,2,7,0,2,2,6,5,9,6,2,0,0,7,2,10,9,0,0
6,5,3,7,4,3,8,7.78,2,9,2,5,5,9,3,7,6,6,6,1,6,5,5,5,8,0
2,9,0,3,4,7,8,6.35,5,4,9,1,4,5,0,5,4,0,9,9,6,5,3,1,8,0
9,6,0,7,7,9,2,4.59,5,5,5,5,1,8,4,4,6,1,4,6,7,0,8,7,10,1
2,6,4,9,4,3,7,7.39,4,6,5,3,0,2,7,2,4,9,9,9,0,2,6,3,7,0
4,5,1,13,9,1,10,6.25,10,0,4,3,8,5,5,3,2,0,3,0,2,4,1,2,9,1
5,3,3,14,5,1,3,6.97,5,4,6,6,2,2,9,6,5,8,0,6,3,10,6,4,6,1
8,7,0,1,2,0,2,3.82,1,10,4,3,6,1,8,6,8,1,8,4,10,10,9,7,9,0
4,7,3,8,4,4,0,8.45,5,5,1,3,8,2,3,2,5,1,6,10,5,6,7,8,9,0
0,6,10,12,3,5,4,8.7,3,8,3,3,8,1,9,3,3,5,1,2,9,3,2,0,2,0
3,6,5,15,0,8,10,3.13,0,10,0,3,9,1,8,2,6,6,3,10,9,7,2,3,4,0
4,7,9,8,8,4,3,10.0,7,3,6,4,5,9,7,1,3,1,3,1,8,2,10,5,2,1
9,4,3,14,6,5,0,6.84,4,5,3,6,7,10,2,5,6,3,7,6,3,5,1,5,8,1
9,5,0,13,6,5,9,7.49,4,6,3,4,8,6,5,6,6,2,1,8,5,5,0,8,8,1
4,7,6,9,5,2,7,7.67,6,4,3,3,2,9,3,3,4,4,10,8,8,8,2,0,4,1
6,4,1,9,2,3,7,6.41,1,8,2,5,5,2,0,4,7,8,4,9,8,3,9,4,10,0
3,7,8,12,4,0,7,7.23,5,6,7,3,4,7,8,7,4,1,9,9,5,6,10,9,2,0
0,4,2,5,6,3,2,6.58,4,5,3,5,6,1,3,8,2,4,7,7,4,9,6,0,10,1
4,7,7,15,2,0,5,6.07,1,8,7,3,6,10,10,6,6,7,5,1,2,0,10,5,4,0
6,6,7,3,0,4,6,3.63,2,8,8,2,8,10,4,9,8,5,3,0,4,10,8,8,4,0
9,4,2,3,4,10,8,6.46,3,6,0,7,0,6,2,0,7,3,4,7,2,0,8,3,9,0
9,8,3,12,4,10,4,7.69,3,6,3,0,5,2,3,10,7,9,1,1,4,1,5,9,5,0
5,5,1,5,5,7,8,7.45,7,2,5,6,4,8,8,2,5,7,4,3,9,3,5,9,10,1
4,5,3,4,6,7,5,6.28,6,5,7,6,3,6,6,10,4,2,2,3,9,5,10,8,6,1
3,7,10,5,6,4,9,6.46,6,5,5,2,9,8,7,4,3,3,2,1,0,3,4,2,0,1
1,8,10,6,5,9,9,7.22,5,5,5,0,10,1,2,2,3,10,6,3,5,5,1,10,0,1
3,5,10,6,7,1,9,6.62,5,5,9,6,0,5,2,0,3,8,2,6,6,1,6,6,1,1
9,6,8,8,1,5,3,7.98,0,10,3,4,3,4,6,1,9,4,3,5,1,8,0,4,0,0
9,7,1,7,6,0,0,6.92,8,1,8,2,9,1,7,7,6,5,6,9,2,10,5,9,8,1
2,7,2,12,6,6,0,7.13,4,6,6,2,10,3,4,6,3,10,2,5,9,2,3,0,6,1
9,6,10,15,2,10,9,7.85,4,6,10,4,6,3,0,9,8,1,9,3,8,6,2,6,0,0
0,6,10,5,1,3,4,7.12,0,9,5,4,3,7,2,2,4,8,9,1,7,0,10,7,1,0
7,5,3,11,3,4,2,6.22,1,8,0,6,0,6,4,3,7,7,1,4,3,7,0,5,9,0
4,6,4,15,3,5,4,7.65,1,8,1,4,9,4,2,2,5,6,9,10,10,3,5,0,5,0
3,5,0,5,6,10,4,7.51,8,1,5,4,0,8,0,3,3,8,6,2,7,10,6,8,10,1
7,2,6,14,3,0,0,6.94,4,5,10,8,0,0,6,7,7,4,4,2,10,4,10,6,2,0
6,7,9,13,3,8,7,6.1,1,10,0,1,10,3,0,8,6,4,0,3,7,6,0,5,0,0
1,8,6,4,3,9,4,6.51,3,6,10,1,9,4,9,6,4,10,9,10,5,2,10,3,4,0
0,3,8,0,7,3,4,6.34,6,4,4,7,4,7,5,8,1,10,7,10,0,8,0,2,0,1
10,4,3,8,5,7,8,7.23,6,5,0,5,6,2,5,8,7,8,2,4,1,8,6,3,9,1
3,7,5,8,4,4,7,8.42,5,5,2,4,8,4,6,6,4,10,10,10,3,7,10,0,3,0
7,9,10,8,4,10,0,6.89,6,3,6,0,7,2,10,6,6,4,6,1,3,0,5,8,2,0
1,6,1,14,7,7,2,6.63,8,2,4,5,1,6,0,7,2,8,5,5,1,1,6,1,9,1
2,5,3,10,3,0,6,6.34,5,4,9,3,8,9,10,9,4,0,9,5,8,1,7,1,8,0
0,6,1,7,7,7,0,4.75,9,1,0,4,3,2,2,2,1,9,5,7,1,2,7,2,10,1
0,9,9,12,5,10,0,6.3,5,5,0,0,9,6,8,7,2,9,7,1,5,1,8,0,2,1
2,5,4,9,4,10,4,7.06,2,7,7,5,10,1,1,0,4,10,3,7,4,0,8,9,5,0
10,5,6,12,10,3,8,6.4,10,0,10,6,4,6,4,5,5,7,3,7,3,10,6,2,6,1
4,6,0,2,2,1,5,6.07,0,10,8,3,10,8,2,1,6,2,2,3,5,4,8,3,8,0
2,5,9,0,4,10,9,7.08,2,8,6,5,4,4,4,6,4,7,0,6,3,5,5,8,0,0
0,7,9,10,2,5,1,6.57,0,10,2,3,3,5,6,2,4,4,9,6,8,6,8,4,0,0
0,9,6,11,6,1,10,6.62,8,3,5,0,5,9,0,10,2,1,2,0,10,9,10,10,2,1
7,7,9,11,8,4,8,6.09,6,4,2,2,0,10,2,9,4,8,0,0,9,6,1,5,1,1
9,6,5,7,8,1,5,6.63,9,2,9,5,1,2,10,4,5,3,5,7,6,1,10,0,6,1
10,6,5,6,7,2,4,4.29,9,2,3,2,3,9,5,9,6,6,7,10,2,6,1,2,5,1
1,4,7,12,4,10,4,7.06,5,5,3,4,3,4,6,1,3,7,2,0,9,1,5,6,3,0
2,8,7,4,4,5,2,6.34,6,3,2,1,7,4,9,0,4,6,3,2,3,1,2,6,4,0
1,6,5,9,1,0,5,6.69,0,9,9,2,8,2,2,4,5,10,4,5,0,5,1,9,5,0
2,6,2,6,9,5,3,8.21,8,3,5,5,3,7,3,8,1,5,6,7,5,5,7,0,7,1
6,10,4,9,5,2,9,3.89,4,7,4,0,5,5,5,8,5,6,10,4,1,7,6,8,4,1
0,7,1,3,4,6,1,7.91,3,6,10,2,3,2,4,6,3,3,5,4,3,4,7,0,8,0
9,5,4,8,7,1,2,6.89,9,2,8,6,3,0,10,8,6,9,1,3,4,4,5,6,5,1
7,6,8,10,3,5,8,4.23,1,8,8,3,10,9,8,3,7,0,6,3,7,9,8,1,4,0
9,8,9,9,5,7,10,7.76,5,5,2,3,8,0,0,2,7,4,7,6,2,0,8,8,2,1
9,6,0,13,4,0,10,7.32,4,7,8,5,3,10,4,10,7,7,0,5,5,3,1,8,10,0
9,4,9,1,6,10,8,4.59,5,5,2,5,5,9,10,3,6,9,5,7,0,0,9,8,0,1
1,8,4,8,4,10,5,6.47,2,7,3,2,8,1,0,6,3,5,10,10,8,9,4,3,7,0
2,5,5,8,2,8,9,6.15,3,6,0,4,2,9,7,7,5,4,8,5,0,4,8,5,7,0
8,9,10,4,5,4,9,3.56,3,7,4,2,6,4,6,1,6,1,6,10,1,7,2,1,0,1
6,8,6,10,7,4,8,6.27,8,3,8,1,6,6,4,4,4,9,4,9,0,0,4,2,4,1
3,6,8,0,4,4,3,7.44,4,6,1,3,0,0,5,4,4,4,9,6,7,2,7,5,3,0
9,8,5,6,6,5,10,7.67,4,6,3,3,10,0,3,8,6,9,10,9,3,0,1,0,4,1
4,6,4,9,2,1,4,6.54,0,10,9,2,1,3,8,2,6,2,9,9,1,5,5,6,7,0
1,8,6,9,4,5,9,7.68,4,5,1,3,4,9,2,5,3,1,8,4,6,9,10,1,3,0
10,7,0,3,3,10,5,6.42,1,9,7,2,7,5,1,9,8,2,1,5,7,0,3,7,10,0
